FIPS,Pollution_Burden_Pctl,Asthma_Pctl,Low_Birth_Weight_Pctl,Cardiovascular_Disease_Pctl,Poverty_Pctl,Health_Index
6075016300,24.39,54.22,76.44,6.75,19.6,181.4
6075026003,12.53,55.23,28.07,26.15,14.79,136.77
6075026302,7.87,39.01,81.22,9,34.7,171.8
6075015900,24.49,30.65,38.71,0.69,50.01,144.55
6075022600,75.16,30.43,63.32,7.02,3.18,179.11
6075015300,39.08,62.67,13.14,12.38,6.48,133.75
6075022704,76.55,44.83,23.66,10.98,16.82,172.84
6075010400,49.7,27.59,23.92,6.67,17.71,125.59
6075022702,76.69,48.67,31.08,17.8,4.72,178.96
6075035400,7.49,24.14,77.8,18.73,22.01,150.17
6075015500,25.46,37.66,9.64,2.42,41.48,116.66
6075042800,34.08,17.4,87.97,14.52,1.98,155.95
6075011902,39.27,15.69,62.39,0.34,29.46,147.15
6075026303,7.24,38.32,46.77,11.84,29.46,133.63
6075016500,21.37,43.86,18.57,13.16,31.55,128.51
6075026002,9.12,47.62,50.49,16.56,34.48,158.27
6075035202,10.96,7.69,62.98,4.44,35.57,121.64
6075032601,27.45,12.87,43.55,10.9,30.46,125.23
6075047600,43.76,10.21,33.44,6.89,14.66,108.96
6075035201,8.81,7.45,79.91,3.93,31.73,131.83
6075015700,25.45,14.97,22.74,0.85,31.26,95.27
6075045100,17.76,11.02,50.19,9.92,17.89,106.78
6075032902,11.67,6.78,66.83,2.68,27.85,115.81
6075030201,18.31,14.38,83.5,13.6,12.16,141.95
6075040100,23.5,8.94,43.08,7.13,22.01,104.66
6075042602,35.41,7.43,39.52,4.08,6.08,92.52
6075021000,23.66,70.41,5.34,31.84,22.47,153.72
6075013300,33.18,9.22,43.79,2.99,24.17,113.35
6075016900,11.79,16.35,82.14,9,18.44,137.72
6075016600,14.42,51.93,82.46,19.35,17.19,185.35
6075030900,30.73,23.93,33.44,11.63,8.38,108.11
6075015100,38.42,42.76,0.42,11.84,13.73,107.17
6075013500,38.62,62.67,3.48,12.38,17.19,134.34
6075010900,36.32,30.75,12.97,5,27.85,112.89
6075015600,14.28,10.73,24.57,9.07,37.89,96.54
6075015400,19.25,21.46,58.56,6.82,7.24,113.33
6075013101,41.29,16.59,68.86,0.75,5.92,133.41
6075032700,20.25,14.38,0.65,13.6,12.69,61.57
6075013400,34.47,62.67,20.89,12.38,1.37,131.78
6075032901,14.75,24.14,15.36,18.73,11.44,84.42
6075010200,48.4,27.57,34.18,3.85,4.02,118.02
6075030101,13.52,23.93,41.72,4.75,29.74,113.66
6075016700,13.25,41.34,57.72,10.9,15.83,139.04
6075016801,25.85,33.28,11.24,3.66,27.85,101.88
6075012700,50.94,4.01,34.46,4.1,5.35,98.86
6075013200,35.53,24.34,30.59,1.76,1.75,93.97
6075035100,7.99,11.3,43.79,8.76,17.89,89.73
6075031000,14.74,32.9,20.89,9.92,10.14,88.59
6075030301,16.68,9.26,32.76,5.82,28.17,92.69
6075031100,25.23,21.67,30.84,4.7,8.53,90.97
6075030202,7.32,14.23,52.36,13.4,24.72,112.03
6075012602,57.92,4.01,4.18,2.97,8.53,77.61
6075012800,53.83,2.85,12.77,2.42,12.45,84.32
6075030400,15.89,19.29,22.25,12.33,11.95,81.71
6075017101,4.87,51.93,54.85,19.35,5.09,136.09
6075013102,48.65,14.89,6.79,0.29,15.03,85.65
6075016400,19.29,51.93,19.34,19.35,5.8,115.71
6075021500,13.69,25.6,19,4.41,14.48,77.18
6075015802,20.3,35.07,10.41,2.49,28.17,96.44
6075012601,56.12,4.19,9.51,4.4,7.24,81.46
6075017102,5.46,51.93,7.29,19.35,23.17,107.2
6075020402,4.46,8.59,86.54,1.92,20.8,122.31
6075030102,8.65,7.33,37.58,0.22,11.67,65.45
6075030700,6.52,18.2,23.92,7.42,17.49,73.55
6075030302,16.61,9.75,3.77,4.75,18.44,53.32
6075030500,6.2,4.76,6.89,0.4,19.6,37.85
6075021700,8.16,18.31,3.03,8.42,19.12,57.04
6075012902,61.52,3.89,12.14,2.62,6.08,86.25
6075020300,12.79,21.25,5.03,2.65,23.66,65.38
6075020600,13.55,15.47,33.73,6.47,9.27,78.49
6075017000,7.33,9.04,74.9,0.76,1.98,94.01
6075021400,9.74,8,23.92,1,5.35,48.01
6075030600,5.56,18.13,12.38,7.42,9.46,52.95
6075021800,21.05,19.45,7.06,6.75,6.73,61.04
6075021200,4.07,13.38,56.61,6.41,0.35,80.82
6075012901,55.33,3.27,9.85,0.32,2.47,71.24
6075021100,9.15,15.45,22.25,6.02,7.83,60.7
6075030800,18.13,13.33,9.75,4.9,2.12,48.23
6075020401,3.58,9.82,46.5,2.47,9.85,72.22
6075060100,77.14,2.42,1.36,0.83,11.95,93.7
6075013000,46.02,3.5,13.66,0.93,14.05,78.16
6075020500,7.27,16.35,6.21,9,10.14,48.97
6075021600,1.84,18.53,0.74,8.76,12.84,42.71
6075021300,3.7,8.66,17.77,2.26,7.37,39.76
6075980200,26.41,25.22,NA,25.07,NA,76.7
6075980300,40.01,5.3,NA,0.49,NA,45.8
6075980900,84.14,69.29,NA,8.25,43.53,205.21
